region	n	trait	results	abbreviation	category	color
region_chr11_70855_1192365	141	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr11_70855_1192365	142	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr11_9065770_10930480	3	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr12_101468912_102571208	3	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_101468912_102571208	38	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_119316305_121569746	128	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr12_119316305_121569746	12	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr12_132236187_133264925	5	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr12_47321010_48608083	4	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr12_48608083_51382710	10	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr12_48608083_51382710	9	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr12_52645220_54385039	1	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr12_57155077_58914885	119	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_65165915_66787364	34	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_8224940_8878799	6	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_8878799_10328935	48	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr12_89288345_91672378	7	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr12_91672378_94120791	11	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_95627009_96715061	1	BCAC_ER_negative_BreastCancer_EUR	spredixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr13_26710225_28683414	3	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr13_26710225_28683414	3	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr13_26710225_28683414	7	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr13_31727678_33202766	8	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr13_38304026_40495126	4	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr13_40495126_42526891	1	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr13_76836420_78234678	4	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_eqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr13_98286665_99921841	7	UKB_20002_1111_self_reported_asthma	spredixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr14_102545765_104535386	9	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr14_21121243_22549721	3	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_22549721_24435917	62	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr14_67525600_70665240	6	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_72422907_75978424	20	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr14_90830516_92665954	1	BCAC_ER_negative_BreastCancer_EUR	spredixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr15_101012489_101980763	1	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr15_38238576_40091931	7	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr15_40885316_42484201	55	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr15_56609575_58149167	4	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr15_60973637_62923023	4	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr15_73336373_76106283	9	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr15_80568637_83591716	2	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr15_83591716_86109674	47	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr15_98700830_100096642	26	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr16_1157206_2714828	212	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr16_20139249_22437583	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr16_2714828_3951195	1	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr16_29025292_31371622	15	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_eqtl	SLE	Immune	#40A0A0
region_chr16_29025292_31371622	43	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr16_53348660_55869862	1	UKB_1160_Sleep_duration	spredixcan_eqtl	SLEEP_UKB	Psychiatric-neurologic	#0000A0
region_chr16_53348660_55869862	1	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr16_71020125_72901251	1	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr16_81738931_82714123	33	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr16_84412277_85115079	1	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr16_85115079_86122993	9	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr16_85115079_86122993	4	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr17_29007226_31459473	75	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr17_3799018_4792966	9	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr17_38653091_40721152	274	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr17_43694719_44979537	3	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr17_43694719_44979537	45	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr17_44979537_47798656	267	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr17_44979537_47798656	16	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr17_44979537_47798656	1	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr17_47798656_49440038	152	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_57280180_59410151	5	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr17_57280180_59410151	110	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr17_57280180_59410151	4	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr17_5838014_7414079	10	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_59410151_61235394	48	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr17_59410151_61235394	55	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr17_63468228_65152010	14	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr17_69862629_71391676	2	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr17_69862629_71391676	4	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_7414079_8403107	1	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_eqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr17_74676064_76379479	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr17_76379479_78267332	16	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr17_82076532_83247139	56	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr18_11905441_14440800	22	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr18_11905441_14440800	19	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr18_45342141_46719283	2	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr18_45342141_46719283	2	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr18_45342141_46719283	1	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr18_62610482_64153018	5	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr19_13360313_14375535	2	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr19_16263605_18299052	18	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_18299052_19766662	14	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr19_18299052_19766662	37	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr19_2098397_3019662	7	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr19_2098397_3019662	7	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr19_3019662_4348970	11	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr19_35978393_37036131	12	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_4348970_5811841	2	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr19_44239955_45599439	4	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr19_44239955_45599439	4	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr19_44239955_45599439	5	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr19_44239955_45599439	107	IGAP_Alzheimer	spredixcan_eqtl	AD	Psychiatric-neurologic	#0000A0
region_chr19_51029311_52482037	1	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr19_6684874_8282629	2	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr1_102433189_103371589	1	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_115337972_118296444	1	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_11717784_12719464	25	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_118296444_148907004	85	BCAC_ER_negative_BreastCancer_EUR	spredixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr1_118296444_148907004	2	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_151566405_153208353	26	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr1_153208353_154797927	1	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr1_154797927_156366342	6	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr1_169117086_170588635	2	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	spredixcan_eqtl	PE_UKB	Cardiometabolic	#004000
region_chr1_170588635_173128768	10	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_177464245_178975174	4	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr1_18336405_20142656	30	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_1961168_3666172	5	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_20142656_21410095	5	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_eqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr1_203365606_204711940	2	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_203365606_204711940	1	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr1_206268085_208237019	15	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr1_219417229_221684889	1	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr1_226623159_229020501	5	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr1_226623159_229020501	4	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr1_226623159_229020501	5	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr1_230549509_231954506	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_235656136_237392328	3	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr1_247181216_248945267	1	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr1_25190354_27075376	149	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_29689034_31973084	11	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr1_39734895_41509656	2	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_44503511_46433829	22	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr1_44503511_46433829	25	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr1_44503511_46433829	26	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_49428505_51248054	2	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_51248054_53760589	3	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	spredixcan_eqtl	BLDP2_UKB	Hair morphology	#808000
region_chr1_53760589_55947444	11	MAGNETIC_LDL.C	spredixcan_eqtl	LDLC	Cardiometabolic	#004000
region_chr1_55947444_56556055	1	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr1_87662948_89600744	47	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_91420760_93070902	71	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr1_91420760_93070902	60	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr20_20979069_22510818	3	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	spredixcan_eqtl	BLDP2_UKB	Hair morphology	#808000
region_chr20_2488855_3847766	12	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr20_34225635_36332043	2	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	spredixcan_eqtl	DVT_UKBS	Cardiometabolic	#004000
region_chr20_34225635_36332043	453	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr20_3847766_5497204	9	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr20_48583442_50623121	3	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr20_5497204_7103426	4	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr20_62670503_63558827	7	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr21_33853161_35152076	2	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr21_43086158_44757190	4	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr22_17193405_17813322	1	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr22_19924835_22002927	7	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr22_19924835_22002927	39	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr22_19924835_22002927	5	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr22_37174229_38911889	60	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr22_40149793_42294812	6	BCAC_Overall_BreastCancer_EUR	spredixcan_eqtl	BC	Cancer	#A0A0A0
region_chr2_102072305_102971757	8	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr2_102072305_102971757	42	UKB_20002_1111_self_reported_asthma	spredixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr2_102072305_102971757	36	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr2_109814855_113164279	15	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr2_109814855_113164279	3	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr2_132285211_134401007	1	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_143761915_145688002	2	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr2_164322330_166303760	5	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr2_166499460_169111726	15	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr2_166499460_169111726	15	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr2_172274177_174724201	1	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr2_181401304_183492880	4	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr2_197213386_198446401	5	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr2_211514793_213149558	1	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr2_217530757_219589829	51	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr2_217530757_219589829	63	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr2_228506071_230978674	4	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr2_23118512_24464049	79	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr2_23118512_24464049	13	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr2_236540389_237852338	6	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr2_240620667_241210506	7	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_240620667_241210506	9	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_241210506_242147200	107	UKB_20002_1111_self_reported_asthma	spredixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr2_241210506_242147200	96	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr2_24464049_26672117	6	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr2_24464049_26672117	65	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_24464049_26672117	3	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr2_26672117_28375910	46	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr2_26672117_28375910	54	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr2_43082452_44086664	3	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr2_60064865_62201909	3	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_8282017_10158342	19	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr2_84913556_87738988	26	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr3_125217798_126496100	7	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr3_126496100_128476018	2	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr3_128476018_130525891	54	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr3_133533329_135738064	117	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_135738064_137652241	22	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_140235755_141620255	10	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr3_140235755_141620255	2	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr3_147008842_149325450	1	UKB_20022_Birth_weight	spredixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr3_153538782_154996429	2	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr3_16240935_17849626	1	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr3_181793378_184051895	2	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr3_181793378_184051895	3	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_196244537_197349116	1	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr3_35241966_36445350	3	UKB_20127_Neuroticism_score	spredixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
